"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,211,"ZAF","South Africa",1,"Eastern Cape","Provinsie","Province",NA,"Oos-Kaap"
2,211,"ZAF","South Africa",2,"Free State","Provinsie","Province",NA,"Orange Free State|Vrystaat"
3,211,"ZAF","South Africa",3,"Gauteng","Provinsie","Province",NA,"Pretoria/Witwatersrand/Vaal"
4,211,"ZAF","South Africa",4,"KwaZulu-Natal","Provinsie","Province",NA,"Natal and Zululand"
5,211,"ZAF","South Africa",5,"Limpopo","Provinsie","Province",NA,"Noordelike Provinsie|Northern Transvaal|Northern Province"
6,211,"ZAF","South Africa",6,"Mpumalanga","Provinsie","Province",NA,"Eastern Transvaal"
7,211,"ZAF","South Africa",7,"North West","Provinsie","Province",NA,"North-West|Noordwes"
8,211,"ZAF","South Africa",8,"Northern Cape","Provinsie","Province",NA,"Noord-Kaap"
9,211,"ZAF","South Africa",9,"Western Cape (isolated islands)","Provinsie","Province",NA,"Wes-Kaap"
10,211,"ZAF","South Africa",10,"Western Cape","Provinsie","Province",NA,"Wes-Kaap"
